member_id,tier,enrollment_date,tenure_days,primary_hub,days_since_last_booking,bookings_last_90d,bookings_last_180d,bookings_last_365d,total_bookings_lifetime,avg_fare,total_spend_lifetime,fare_class_most_common,pct_discount_fares,unique_routes_lifetime,route_diversity_score,pct_bookings_summer,pct_bookings_holiday,points_balance,points_earned_last_90d,points_earning_velocity,redemption_gap_days,points_redeemed_last_365d,points_expiring_soon,complaints_last_365d,support_tickets_open,avg_support_csat,promos_sent_last_180d,promos_redeemed_last_180d,promo_response_rate,app_logins_last_90d,email_open_rate,recency_score,frequency_score,monetary_score,rfm_score,churn_label
TB000288,Blue,2022-08-16,1469,SJU,96,2,2,5,11,312.4,3404.71,Blue Basic,0.278,5,0.455,0.077,0.16,26877,421,4.68,100,0,0,1,0,3.34,6,3,0.496,7,0.255,89.3,60,34.0,61.1,0
TB000289,Blue,2020-11-02,2121,SJU,59,0,0,0,5,328.47,1585.85,Blue,0.263,7,1.0,0.227,0.062,10284,76,0.84,56,0,0,1,0,2.23,3,1,0.38,11,0.411,93.4,0,15.9,36.4,0
TB000290,Blue,2017-08-24,3287,LAX,17,0,3,3,12,315.13,3999.19,Blue,0.0,3,0.25,0.33,0.017,20250,0,0.0,32,0,0,0,0,4.62,4,1,0.303,20,0.246,98.1,36,40.0,58.0,0
TB000291,Blue Plus,2015-07-15,4058,BOS,114,2,2,3,19,307.43,5621.52,Blue Extra,0.269,7,0.368,0.14,0.195,16000,3088,34.31,26,9209,0,0,0,4.84,4,1,0.251,6,0.521,87.3,36,56.2,59.8,0
TB000292,Blue Plus,2018-02-03,3124,JFK,3,2,3,7,19,328.93,5811.09,Mint,0.109,3,0.158,0.47,0.206,22865,2593,28.81,624,9567,1,0,0,4.28,7,1,0.139,26,0.719,99.7,84,58.1,80.6,0
TB000293,Blue,2017-08-17,3294,LAX,76,1,1,3,4,312.2,1333.18,Blue Extra,0.408,7,1.0,0.541,0.11,11380,3352,37.24,272,10791,0,0,0,4.48,5,0,0.0,0,0.225,91.6,36,13.3,47.0,1
TB000294,Blue,2019-04-07,2696,BOS,118,0,0,0,0,399.15,452.01,Blue,0.153,2,1.0,0.34,0.084,12181,2430,27.0,177,0,0,0,0,4.29,5,2,0.331,2,0.221,86.9,0,4.5,30.5,0
TB000295,Blue,2022-10-18,1406,SJU,13,1,2,4,17,526.51,9487.47,Blue Basic,0.237,7,0.412,0.518,0.072,19857,4637,51.52,19,14459,0,0,0,4.83,7,4,0.587,16,0.491,98.6,48,94.9,80.5,0
TB000296,Blue,2025-02-11,559,BOS,252,0,0,0,0,207.9,230.11,Blue Extra,0.302,5,1.0,0.434,0.197,6753,868,9.64,769,1986,1,1,0,3.25,4,1,0.13,5,0.15,72.0,0,2.3,24.8,1
TB000297,Blue,2023-09-25,1064,LAX,64,0,0,2,2,235.17,532.83,Blue Extra,0.153,3,1.0,0.458,0.244,10162,0,0.0,314,0,0,4,1,4.12,5,0,0.0,6,0.0,92.9,24,5.3,40.7,1
TB000298,Blue,2019-02-03,2759,FLL,163,3,5,6,16,215.77,3738.21,Blue Extra,0.215,4,0.25,0.501,0.144,10954,4648,51.64,551,9624,0,0,0,4.37,9,5,0.6,30,0.415,81.9,72,37.4,63.8,1
TB000299,Blue,2025-05-08,473,JFK,52,0,2,5,5,304.83,1361.75,Blue Basic,0.23,3,0.6,0.197,0.27,24151,4305,47.83,230,0,0,2,0,3.99,6,2,0.329,22,0.55,94.2,60,13.6,55.9,0
TB000300,Blue,2018-12-22,2802,BOS,315,0,0,0,0,249.37,263.43,Mint,0.267,1,1.0,0.392,0.0,1177,0,0.0,455,0,1,2,0,2.29,3,1,0.258,1,0.0,65.0,0,2.6,22.5,1
TB000301,Blue,2022-07-03,1513,JFK,388,3,3,3,3,264.5,879.72,Blue,0.157,3,1.0,0.21,0.116,6646,0,0.0,314,0,0,1,0,3.53,8,3,0.417,0,0.136,56.9,36,8.8,33.9,1
TB000302,Blue Plus,2016-07-14,3693,FLL,15,1,2,5,10,286.96,2469.3,Mint,0.104,6,0.6,0.094,0.24,19423,2415,26.83,450,0,0,0,0,4.01,6,2,0.332,4,0.569,98.3,60,24.7,61.0,0
TB000303,Blue,2021-11-09,1749,JFK,9,0,1,2,8,237.34,1690.36,Blue,0.187,3,0.375,0.432,0.178,587,3629,40.32,135,8899,0,1,0,3.02,3,2,0.539,13,0.507,99.0,24,16.9,46.6,0
TB000304,Blue Plus,2018-03-21,3078,BOS,161,0,2,6,7,346.41,2336.8,Mint,0.304,5,0.714,0.301,0.075,7521,1679,18.66,727,4400,0,0,0,4.47,6,2,0.331,5,0.475,82.1,72,23.4,59.2,1
TB000305,Blue Plus,2014-10-04,4342,JFK,230,0,0,2,13,202.22,2669.51,Blue,0.33,4,0.308,0.442,0.281,8678,0,0.0,145,11944,0,0,0,4.24,5,1,0.25,0,0.346,74.4,24,26.7,41.7,0
TB000306,Blue,2020-07-26,2220,LAX,150,3,5,6,11,325.28,3237.92,Mint,0.264,5,0.455,0.489,0.122,15269,0,0.0,15,9475,0,0,0,4.26,9,6,0.718,9,0.66,83.3,72,32.4,62.6,0
TB000307,Blue Plus,2025-04-11,500,BOS,190,2,4,6,15,333.17,5645.89,Blue Basic,0.0,7,0.467,0.212,0.212,24818,1575,17.5,124,6991,0,0,0,4.52,9,8,0.851,12,0.639,78.9,72,56.5,69.1,0
TB000308,Blue,2016-07-02,3705,SJU,96,2,3,5,32,433.56,13930.88,Mint,0.083,8,0.25,0.457,0.136,12847,648,7.2,121,14097,0,0,0,4.19,6,5,0.832,18,0.287,89.3,60,100,83.1,0
TB000309,Blue,2015-01-01,4253,FLL,90,1,1,1,10,373.08,3538.91,Blue,0.578,5,0.5,0.337,0.156,9101,2451,27.23,148,11927,0,0,0,4.54,5,2,0.367,5,0.227,90.0,12,35.4,45.8,0
TB000310,Blue,2022-06-24,1522,LAX,900,0,0,0,8,335.16,2283.76,Blue Extra,0.278,3,0.375,0.466,0.17,8863,0,0.0,50,6444,0,2,0,3.16,8,0,0.0,2,0.217,0,0,22.8,7.6,1
TB000311,Blue,2017-08-06,3305,SJU,592,0,0,0,0,187.78,168.38,Blue,0.362,1,1.0,0.204,0.196,10854,86,0.96,142,5514,0,2,0,2.64,4,0,0.0,3,0.03,34.2,0,1.7,12.0,1
TB000312,Blue,2016-12-09,3545,JFK,195,3,4,4,23,498.97,11790.29,Blue,0.259,7,0.304,0.338,0.202,14807,2586,28.73,35,11960,0,0,0,3.89,5,3,0.545,12,0.373,78.3,48,100,75.4,0
TB000313,Blue,2025-05-28,453,BOS,57,2,2,5,5,303.38,1307.97,Blue Basic,0.274,3,0.6,0.319,0.257,7105,2174,24.16,159,4331,0,1,0,2.93,2,1,0.419,15,0.407,93.7,60,13.1,55.6,0
TB000314,Blue,2018-03-25,3074,MCO,132,2,4,6,10,245.06,2113.18,Mint,0.472,2,0.2,0.273,0.0,19198,2832,31.47,85,3979,0,0,0,4.69,9,4,0.464,12,0.252,85.3,72,21.1,59.5,0
TB000315,Blue,2018-10-10,2875,FLL,114,1,3,4,6,416.05,2499.2,Blue Basic,0.047,4,0.667,0.276,0.344,30405,4177,46.41,26,11951,0,0,0,4.03,5,3,0.65,19,0.278,87.3,48,25.0,53.4,0
TB000316,Blue,2020-06-22,2254,LAX,130,1,2,3,15,271.05,4070.41,Blue Extra,0.25,9,0.6,0.311,0.052,13207,2348,26.09,56,9963,0,1,0,4.03,5,2,0.406,0,0.357,85.6,36,40.7,54.1,1
TB000317,Blue,2026-07-14,41,JFK,781,0,0,5,7,223.42,1392.04,Blue Extra,0.178,9,1.0,0.388,0.1,12747,985,10.94,1000,0,0,0,0,4.54,5,1,0.199,0,0.065,13.2,60,13.9,29.0,1
TB000318,Blue,2021-12-10,1718,BOS,41,1,1,1,6,281.94,1555.49,Blue Extra,0.037,8,1.0,0.217,0.152,14825,1321,14.68,152,11011,0,0,0,4.43,7,5,0.65,2,0.355,95.4,12,15.6,41.0,0
TB000319,Blue Plus,2016-12-31,3523,JFK,422,4,7,10,21,218.75,4736.1,Blue,0.528,6,0.286,0.489,0.251,12425,5853,65.03,149,8212,0,0,0,4.63,3,2,0.563,0,0.487,53.1,100,47.4,66.8,1
TB000320,Blue,2016-08-07,3669,JFK,84,0,1,5,17,394.55,5743.92,Blue Basic,0.188,5,0.294,0.516,0.287,19796,2462,27.36,28,5222,0,0,0,4.79,4,3,0.659,2,0.469,90.7,60,57.4,69.4,0
TB000321,Blue Plus,2024-04-13,863,FLL,5,2,3,7,12,354.58,3672.05,Blue Basic,0.101,7,0.583,0.321,0.109,14162,1857,20.63,155,8521,0,0,0,5.0,4,3,0.84,10,0.501,99.4,84,36.7,73.4,0
TB000322,Mosaic,2023-03-26,1247,SJU,11,1,1,4,18,345.06,5490.28,Blue,0.214,5,0.278,0.426,0.148,12418,3755,41.72,55,7734,0,0,0,4.6,4,2,0.588,5,0.507,98.8,48,54.9,67.2,0
TB000323,Blue,2015-07-08,4065,JFK,141,0,0,0,0,157.66,169.4,Blue Extra,0.337,2,1.0,0.262,0.219,7370,873,9.7,949,0,0,3,1,1.55,6,0,0.0,0,0.012,84.3,0,1.7,28.7,1
TB000324,Blue Plus,2023-06-23,1158,FLL,6,4,6,6,10,394.97,3482.86,Blue,0.01,8,0.8,0.462,0.164,20148,3560,39.56,46,12560,0,0,0,4.77,9,5,0.558,6,0.517,99.3,72,34.8,68.7,0
TB000325,Blue Plus,2026-04-08,138,LAX,287,2,5,7,7,315.48,2428.76,Blue,0.393,3,0.429,0.474,0.104,11658,634,7.04,31,14581,0,0,0,4.7,5,2,0.436,23,0.408,68.1,84,24.3,58.8,1
TB000326,Blue,2024-10-31,662,SJU,45,0,0,0,7,419.19,3063.42,Blue Basic,0.297,6,0.857,0.446,0.161,11831,2182,24.24,149,8181,0,0,0,3.96,5,3,0.554,14,0.607,95.0,0,30.6,41.9,0
TB000327,Blue,2015-09-18,3993,BOS,265,2,5,7,22,406.06,8115.61,Blue Extra,0.175,1,0.045,0.225,0.299,8291,2614,29.04,188,19682,0,0,0,3.7,6,3,0.57,16,0.442,70.6,84,81.2,78.6,0
TB000328,Blue,2021-05-15,1927,FLL,56,1,3,4,19,359.28,7294.72,Blue,0.341,6,0.316,0.29,0.214,21273,1859,20.66,164,11570,0,0,0,4.64,8,5,0.636,19,0.417,93.8,48,72.9,71.6,0
TB000329,Blue,2023-05-14,1198,SJU,299,0,2,2,2,306.3,551.9,Blue Basic,0.443,6,1.0,0.414,0.177,13217,854,9.49,128,6399,0,2,0,3.79,6,2,0.292,10,0.461,66.8,24,5.5,32.1,1
TB000330,Blue,2023-09-03,1086,JFK,233,1,1,2,2,273.62,609.2,Mint,0.708,5,1.0,0.345,0.09,8389,777,8.63,616,2359,1,2,1,2.51,7,2,0.349,10,0.0,74.1,24,6.1,34.7,1
TB000331,Blue,2024-08-21,733,BOS,448,2,2,5,5,324.88,1547.61,Blue,0.317,8,1.0,0.344,0.172,16785,3505,38.94,193,6563,0,1,0,2.4,9,2,0.224,18,0.331,50.2,60,15.5,41.9,1
TB000332,Blue,2017-01-29,3494,JFK,14,3,5,7,14,381.64,5938.09,Blue,0.218,3,0.214,0.566,0.245,6102,3871,43.01,40,2416,0,1,0,3.3,4,1,0.242,3,0.276,98.4,84,59.4,80.6,0
TB000333,Mosaic,2022-02-10,1656,FLL,19,3,3,11,27,363.0,10497.03,Blue,0.297,9,0.333,0.245,0.15,21343,1332,14.8,9,8901,0,0,0,5.0,4,2,0.41,11,0.564,97.9,100,100,99.3,0
TB000334,Blue,2022-05-10,1567,LAX,43,1,1,3,18,193.15,3556.84,Blue Basic,0.319,3,0.167,0.109,0.148,5399,0,0.0,194,0,0,2,0,1.93,5,1,0.259,8,0.117,95.2,36,35.6,55.6,1
TB000335,Blue,2016-10-15,3600,JFK,305,2,2,3,3,129.11,428.81,Mint,0.345,2,0.667,0.258,0.095,0,738,8.2,922,7605,0,2,0,3.56,6,0,0.0,6,0.016,66.1,36,4.3,35.5,1
TB000336,Blue Plus,2016-01-13,3876,LAX,92,2,2,5,18,288.64,5033.12,Mint,0.255,4,0.222,0.418,0.107,22706,780,8.67,43,11137,0,2,0,4.41,6,2,0.263,27,0.616,89.8,60,50.3,66.7,0
TB000337,Blue Plus,2016-12-02,3552,SJU,24,5,5,5,20,255.87,4547.63,Blue,0.339,5,0.25,0.222,0.141,23009,3974,44.16,109,1090,0,0,0,4.81,3,1,0.394,23,0.523,97.3,60,45.5,67.6,0
TB000338,Blue Plus,2016-10-02,3613,SJU,3,3,4,5,31,386.52,10275.71,Blue Extra,0.412,7,0.226,0.418,0.257,19695,4469,49.66,55,10385,0,0,0,4.28,7,5,0.679,21,0.62,99.7,60,100,86.6,0
TB000339,Blue,2024-03-30,877,JFK,3,4,7,11,16,419.37,7403.64,Blue Extra,0.22,8,0.5,0.231,0.198,15929,2728,30.31,18,18406,0,0,0,4.27,6,3,0.463,36,0.48,99.7,100,74.0,91.2,0
TB000340,Blue,2023-12-08,990,FLL,13,2,3,4,13,482.81,7079.77,Blue Basic,0.232,8,0.615,0.374,0.225,20180,3281,36.46,4,19967,0,0,0,4.72,7,4,0.628,23,0.543,98.6,48,70.8,72.5,0
TB000341,Blue,2015-06-12,4091,FLL,817,1,1,2,6,101.46,693.11,Blue Basic,0.403,1,0.167,0.431,0.0,0,237,2.63,237,0,0,0,0,4.11,4,0,0.0,4,0.0,9.2,24,6.9,13.4,1
TB000342,Mosaic,2022-10-24,1400,JFK,5,1,1,5,21,297.5,6304.66,Blue,0.405,10,0.476,0.379,0.077,26878,4467,49.63,13,12565,0,0,0,4.48,6,3,0.494,27,0.69,99.4,60,63.0,74.1,0
TB000343,Blue,2017-12-01,3188,JFK,40,2,2,2,19,256.97,5133.4,Blue,0.135,2,0.105,0.306,0.214,15232,4353,48.37,154,12428,0,1,1,3.77,7,1,0.114,17,0.286,95.6,24,51.3,57.0,0
TB000344,Blue,2026-06-17,68,LAX,189,1,1,5,6,330.89,2071.57,Blue Basic,0.465,8,1.0,0.319,0.282,8657,3654,40.6,52,4119,0,0,0,4.35,3,2,0.738,0,0.553,79.0,60,20.7,53.2,0
TB000345,Blue,2025-11-28,269,JFK,19,4,8,9,9,275.28,2171.31,Blue Extra,0.361,2,0.222,0.571,0.085,12749,4815,53.5,21,9751,0,0,0,4.24,8,3,0.436,6,0.433,97.9,100,21.7,73.2,0
TB000346,Blue,2023-09-25,1064,LAX,151,2,5,5,5,220.31,1108.74,Blue Basic,0.104,5,1.0,0.265,0.267,12064,2876,31.96,82,12541,0,1,0,2.82,3,1,0.316,12,0.372,83.2,60,11.1,51.4,0
TB000347,Mosaic,2021-09-19,1800,BOS,101,1,1,5,11,230.97,2398.41,Mint,0.21,2,0.182,0.422,0.121,1699,5034,55.93,418,0,1,0,0,4.46,7,1,0.193,26,0.307,88.8,60,24.0,57.6,0
TB000348,Blue,2024-02-04,932,JFK,30,4,7,9,9,321.73,3266.43,Blue Basic,0.185,5,0.556,0.31,0.149,12335,2708,30.09,206,6267,0,0,0,4.39,7,1,0.145,6,0.21,96.7,100,32.7,76.5,0
TB000349,Blue,2020-12-24,2069,BOS,5,1,3,5,15,349.58,4813.4,Blue,0.21,4,0.267,0.392,0.296,12289,883,9.81,26,11098,0,1,0,3.77,6,4,0.605,30,0.269,99.4,60,48.1,69.2,0
TB000350,Blue,2021-03-19,1984,FLL,18,3,4,8,23,320.09,7202.88,Blue Basic,0.546,5,0.217,0.249,0.009,1806,353,3.92,120,4267,0,0,0,5.0,8,0,0.0,4,0.546,98.0,96,72.0,88.7,0
TB000351,Blue Plus,2023-04-12,1230,LAX,194,1,1,4,4,387.75,1627.03,Blue Basic,0.0,6,1.0,0.287,0.0,15838,0,0.0,378,5597,0,0,0,4.25,3,3,0.951,16,0.554,78.4,48,16.3,47.6,0
TB000352,Blue Plus,2015-05-26,4108,BOS,33,3,4,7,38,465.7,17047.73,Blue Basic,0.173,10,0.263,0.594,0.137,24566,6336,70.4,17,7756,0,1,0,4.08,7,2,0.31,13,0.623,96.3,84,100,93.4,0
TB000353,Blue,2018-10-13,2872,LAX,139,4,4,4,17,393.01,6929.3,Blue,0.25,5,0.294,0.385,0.152,8225,3340,37.11,14,2519,0,2,0,3.82,6,1,0.139,13,0.406,84.6,48,69.3,67.3,0
TB000354,Blue,2023-02-01,1300,JFK,6,2,4,4,14,359.83,4330.54,Mint,0.213,10,0.714,0.073,0.248,21736,3924,43.6,21,8263,0,1,0,3.69,8,4,0.503,13,0.686,99.3,48,43.3,63.5,0
TB000355,Blue Plus,2024-08-23,731,SJU,108,4,6,10,13,262.81,3443.76,Blue,0.05,4,0.308,0.226,0.167,5822,2426,26.96,6,0,0,0,0,3.91,7,1,0.162,5,0.324,88.0,100,34.4,74.1,0
TB000356,Blue Plus,2019-12-26,2433,BOS,2,3,4,5,19,327.75,6860.93,Blue Basic,0.145,13,0.684,0.323,0.181,17265,5163,57.37,12,21143,0,0,0,4.2,3,2,0.728,21,0.752,99.8,60,68.6,76.1,0
TB000357,Blue,2021-07-20,1861,BOS,11,1,1,1,17,320.94,5658.39,Blue Basic,0.304,7,0.412,0.26,0.143,17551,3116,34.62,68,0,0,1,0,3.5,6,3,0.536,32,0.494,98.8,12,56.6,55.8,0
TB000358,Blue,2023-10-20,1039,BOS,51,1,2,2,7,316.48,2246.38,Blue,0.261,6,0.857,0.285,0.198,0,2560,28.44,211,4033,0,1,0,3.55,7,1,0.09,3,0.046,94.3,24,22.5,46.9,0
TB000359,Blue,2018-08-11,2935,BOS,93,2,3,11,18,453.15,8164.54,Blue,0.186,5,0.278,0.381,0.191,12045,1278,14.2,61,11957,0,0,0,4.63,3,2,0.561,15,0.595,89.7,100,81.6,90.4,0
TB000360,Blue,2022-07-09,1507,FLL,459,0,0,0,0,322.76,308.05,Blue,0.306,2,1.0,0.37,0.268,0,153,1.7,161,1692,0,3,0,2.86,5,1,0.261,0,0.0,49.0,0,3.1,17.4,1
TB000361,Blue,2025-03-05,537,MCO,343,0,3,5,5,208.95,1177.5,Blue,0.235,2,0.4,0.397,0.238,8985,628,6.98,335,0,0,1,0,3.52,6,2,0.361,8,0.382,61.9,60,11.8,44.6,1
TB000362,Mosaic,2017-05-31,3372,SJU,90,0,0,0,5,183.15,830.62,Blue Basic,0.381,1,0.2,0.237,0.081,10631,1635,18.17,162,2507,0,1,1,3.34,4,1,0.314,10,0.132,90.0,0,8.3,32.8,0
TB000363,Blue Plus,2020-01-24,2404,JFK,90,2,6,10,22,355.25,7992.18,Blue Extra,0.388,5,0.227,0.239,0.082,22439,1616,17.96,284,18509,0,0,0,4.91,6,4,0.619,32,0.594,90.0,100,79.9,90.0,0
TB000364,Blue,2019-03-04,2730,JFK,119,1,3,6,29,331.4,10196.15,Blue Extra,0.63,8,0.276,0.215,0.086,23811,3993,44.37,231,10308,0,0,0,4.96,6,2,0.402,10,0.437,86.8,72,100,86.3,0
TB000365,Blue,2026-01-31,205,FLL,212,1,3,7,7,375.11,2246.16,Blue,0.149,6,0.857,0.236,0.186,17211,3334,37.04,429,12940,1,0,0,4.37,6,2,0.392,22,0.417,76.4,84,22.5,61.0,1
TB000366,Blue,2025-07-15,405,LAX,180,1,2,3,6,337.58,1748.22,Blue,0.198,4,0.667,0.433,0.209,8086,242,2.69,15,10891,0,0,0,4.3,2,1,0.673,2,0.257,80.0,36,17.5,44.5,0
TB000367,Blue,2020-01-01,2427,FLL,261,1,1,5,17,362.74,6001.62,Mint,0.188,6,0.353,0.429,0.069,11581,4161,46.23,20,6467,0,0,0,4.79,6,1,0.09,18,0.452,71.0,60,60.0,63.7,0
TB000368,Blue,2020-07-02,2244,FLL,294,2,4,6,7,246.89,1916.32,Blue,0.372,5,0.714,0.271,0.067,10796,1454,16.16,327,18241,0,0,0,4.51,4,2,0.378,4,0.331,67.3,72,19.2,52.8,1
TB000369,Mosaic,2016-10-30,3585,JFK,52,1,3,3,11,351.33,4366.03,Blue Basic,0.385,7,0.636,0.21,0.104,15451,3394,37.71,14,11625,0,0,0,4.55,6,5,0.751,1,0.698,94.2,36,43.7,58.0,0
TB000370,Blue,2018-12-29,2795,FLL,55,1,2,4,6,202.53,1037.4,Blue,0.125,1,0.167,0.329,0.155,12946,1726,19.18,104,879,0,0,0,4.06,7,5,0.666,17,0.0,93.9,48,10.4,50.8,0
TB000371,Blue,2020-10-11,2143,BOS,302,0,2,5,15,371.8,4823.4,Blue Basic,0.486,6,0.4,0.319,0.139,12119,1475,16.39,253,6578,0,1,0,3.96,4,1,0.289,0,0.328,66.4,60,48.2,58.2,1
TB000372,Blue,2015-02-07,4216,JFK,93,2,4,4,25,361.28,8444.25,Blue Basic,0.134,5,0.2,0.443,0.103,19173,2004,22.27,4,5024,0,1,1,3.47,5,2,0.461,20,0.382,89.7,48,84.4,74.0,0
TB000373,Blue,2018-11-06,2848,JFK,75,1,2,3,15,264.32,4506.21,Mint,0.427,6,0.4,0.291,0.14,23406,863,9.59,111,5393,0,0,0,4.39,7,1,0.074,7,0.35,91.7,36,45.1,57.6,0
TB000374,Blue,2021-05-21,1921,MCO,33,0,0,3,8,174.28,1332.33,Blue,0.515,1,0.125,0.231,0.176,0,0,0.0,49,0,0,1,0,2.6,5,0,0.08,9,0.109,96.3,36,13.3,48.5,0
TB000375,Blue,2023-03-28,1245,FLL,369,0,3,3,7,234.84,1527.19,Blue,0.538,2,0.286,0.505,0.039,11122,961,10.68,25,0,0,1,0,2.73,6,1,0.093,0,0.143,59.0,36,15.3,36.8,1
TB000376,Blue,2019-01-06,2787,BOS,900,0,3,4,4,288.84,1123.78,Blue,0.374,2,0.5,0.29,0.026,6574,0,0.0,559,0,1,1,0,2.74,4,0,0.102,9,0.172,0,48,11.2,19.7,1
TB000377,Blue,2021-05-10,1932,MCO,145,2,4,4,12,233.72,2655.55,Blue,0.314,5,0.417,0.262,0.177,15036,796,8.84,101,8297,0,1,0,3.49,7,3,0.434,7,0.26,83.9,48,26.6,52.8,0
TB000378,Blue Plus,2020-04-25,2312,JFK,169,2,3,4,24,259.23,6295.86,Blue Extra,0.52,6,0.25,0.283,0.198,21355,2143,23.81,74,13723,0,1,0,3.51,1,1,0.76,26,0.403,81.2,48,63.0,64.1,0
TB000379,Blue Plus,2020-04-26,2311,BOS,56,1,4,7,14,266.98,3745.64,Blue Basic,0.132,4,0.286,0.322,0.083,19228,1496,16.62,473,9065,0,0,0,4.07,2,1,0.658,15,0.481,93.8,84,37.5,71.8,0
TB000380,Blue,2021-08-17,1833,JFK,29,0,2,2,5,320.08,1780.86,Mint,0.437,2,0.4,0.222,0.187,3658,88,0.98,9,2366,0,0,0,4.3,4,1,0.133,17,0.598,96.8,24,17.8,46.2,0
TB000381,Blue,2020-01-05,2423,BOS,196,0,0,0,4,310.01,1412.25,Blue Extra,0.303,2,0.5,0.269,0.255,15113,2539,28.21,102,11894,0,2,0,3.43,3,1,0.322,0,0.18,78.2,0,14.1,30.8,1
TB000382,Blue Plus,2015-03-08,4187,BOS,49,4,4,5,20,291.32,6366.56,Blue,0.233,7,0.35,0.335,0.078,17492,1475,16.39,67,5820,0,0,0,4.65,8,6,0.715,11,0.368,94.6,60,63.7,72.8,0
TB000383,Mosaic,2026-02-03,202,JFK,84,2,6,6,6,335.18,2022.33,Blue,0.253,8,1.0,0.405,0.105,20703,0,0.0,38,12113,0,1,0,4.09,6,4,0.588,15,0.371,90.7,72,20.2,61.0,0
TB000384,Blue Plus,2019-10-21,2499,BOS,23,3,7,10,25,345.89,8389.78,Blue Extra,0.413,5,0.2,0.522,0.207,19471,1947,21.63,1,15940,0,0,0,4.88,8,5,0.634,14,0.497,97.4,100,83.9,93.8,0
TB000385,Blue Plus,2015-01-27,4227,LAX,78,0,4,9,19,294.22,5472.01,Blue Basic,0.153,6,0.316,0.474,0.096,13657,2523,28.03,119,3147,0,1,0,4.05,6,4,0.584,11,0.419,91.3,100,54.7,82.0,0
TB000386,Blue,2019-08-07,2574,MCO,828,2,3,4,12,199.13,2210.32,Blue Basic,0.175,2,0.167,0.48,0.184,485,2431,27.01,539,12824,0,1,0,3.13,7,0,0.0,2,0.0,8.0,48,22.1,26.0,1
TB000387,Blue Plus,2016-03-20,3809,FLL,289,0,2,3,21,363.13,7341.33,Blue Extra,0.395,8,0.381,0.429,0.303,22037,4051,45.01,137,1742,0,0,0,5.0,9,3,0.32,12,0.732,67.9,36,73.4,59.1,1
TB000388,Blue,2020-06-26,2250,BOS,119,0,0,0,0,219.85,227.37,Blue Extra,0.206,3,1.0,0.376,0.219,6712,0,0.0,911,7374,1,3,0,3.35,8,1,0.146,4,0.134,86.8,0,2.3,29.7,1
TB000389,Blue Plus,2016-04-12,3786,JFK,87,2,4,7,16,297.88,4950.27,Mint,0.216,9,0.562,0.262,0.115,8776,1049,11.66,55,0,0,0,0,4.7,6,2,0.344,5,0.378,90.3,84,49.5,74.6,0
TB000390,Blue,2017-12-22,3167,BOS,194,2,2,6,17,190.88,3219.07,Blue Basic,0.392,1,0.059,0.5,0.103,13371,2534,28.16,1,18128,0,2,1,3.47,4,0,0.038,8,0.245,78.4,72,32.2,60.9,1
TB000391,Blue,2017-12-01,3188,JFK,317,0,0,2,7,261.43,1646.71,Blue,0.263,6,0.857,0.221,0.116,13508,0,0.0,192,737,0,1,1,2.91,7,1,0.136,0,0.361,64.8,24,16.5,35.1,1
TB000392,Blue,2022-04-13,1594,JFK,261,1,3,4,7,274.42,1811.67,Blue Basic,0.207,5,0.714,0.325,0.137,9439,3209,35.66,11,3667,0,0,0,3.75,2,1,0.438,0,0.751,71.0,48,18.1,45.7,0
TB000393,Blue,2015-07-27,4046,BOS,101,3,4,5,16,403.63,6871.35,Blue Extra,0.368,9,0.562,0.147,0.225,23150,3333,37.03,8,15055,0,1,0,4.14,8,7,0.824,16,0.534,88.8,60,68.7,72.5,0
TB000394,Blue,2018-05-08,3030,LAX,165,0,1,1,9,224.46,2021.06,Blue Extra,0.49,3,0.333,0.208,0.073,0,1150,12.78,793,4829,0,1,0,3.28,7,0,0.044,0,0.108,81.7,12,20.2,38.0,1
TB000395,Blue,2022-06-21,1525,MCO,144,0,3,3,8,255.7,1968.6,Blue Basic,0.252,3,0.375,0.347,0.019,9768,3213,35.7,73,4952,0,2,0,3.78,4,2,0.492,31,0.332,84.0,36,19.7,46.6,1
TB000396,Blue Plus,2018-08-07,2939,JFK,191,0,0,2,9,263.86,2613.2,Blue,0.183,4,0.444,0.225,0.27,11865,581,6.46,302,0,0,1,0,4.38,7,2,0.256,17,0.368,78.8,24,26.1,43.0,1
TB000397,Blue,2022-05-20,1557,BOS,92,1,1,1,6,209.26,1106.63,Blue,0.381,2,0.333,0.262,0.25,18813,2907,32.3,117,0,0,1,1,3.39,3,0,0.0,1,0.0,89.8,12,11.1,37.6,1
TB000398,Blue Plus,2018-03-12,3087,JFK,99,0,4,6,14,411.65,6501.16,Blue Basic,0.181,5,0.357,0.29,0.124,12827,2563,28.48,238,2663,0,0,0,4.99,5,2,0.44,17,0.292,89.0,72,65.0,75.3,0
TB000399,Blue Plus,2023-05-24,1188,MCO,17,0,2,4,12,308.29,3233.76,Blue Basic,0.258,7,0.583,0.437,0.234,15166,2435,27.06,23,14991,0,1,0,3.99,8,2,0.284,21,0.471,98.1,48,32.3,59.5,0
TB000400,Blue,2019-06-05,2637,JFK,225,1,4,4,11,240.81,2564.56,Blue Basic,0.02,5,0.455,0.379,0.258,13058,532,5.91,85,10390,0,0,0,4.51,1,0,0.27,7,0.398,75.0,48,25.6,49.5,1
